30.04.2017 2124:10:28-722:
alpha,1,2,3,4,5,6,7
235,305,305,305,305,305,305,305
236,305,305,305,305,305,305,305
237,305,305,305,305,305,305,305
238,305,305,305,305,305,305,305
239,305,305,305,305,305,305,305
240,305,305,305,305,305,305,305
241,305,305,305,305,305,305,305
242,305,305,305,305,305,305,305
243,305,305,305,305,305,305,305
244,305,305,305,305,305,305,305
245,305,305,305,305,305,305,305
246,305,305,305,305,305,305,305
247,305,305,305,305,305,305,305
248,305,305,305,305,305,305,305
249,305,305,305,305,305,305,305
250,305,305,305,305,305,305,305
251,305,305,305,305,305,305,305
252,305,305,305,305,305,305,305
253,305,305,305,305,305,305,305
254,305,305,305,305,305,305,305
255,305,305,305,305,305,305,305
256,305,305,305,305,305,305,305
257,305,305,305,305,305,305,305
258,305,305,305,305,305,305,305
259,305,305,305,305,305,305,305
260,305,305,305,305,305,305,305
261,305,305,305,305,305,305,305
262,305,305,305,305,305,305,305
263,305,305,305,305,305,305,305
264,305,305,305,305,305,305,305
265,305,305,305,305,305,305,305
266,305,305,305,305,305,305,305
267,305,305,305,305,305,305,305
268,305,305,305,305,305,305,305
269,305,305,305,305,305,305,305
270,305,305,305,305,305,305,305
271,305,305,305,305,305,305,305
272,305,305,305,305,305,305,305
273,305,305,355,355,355,355,355
274,305,305,355,355,355,355,355
275,305,305,355,355,355,355,355
276,305,305,355,355,355,355,355
277,305,305,355,355,355,355,355
278,305,305,355,355,355,355,355
279,305,305,355,355,355,355,355
280,305,305,355,355,355,355,355
281,305,305,355,355,355,355,355
282,305,305,355,355,355,355,355
283,305,305,355,355,355,355,355
284,305,305,355,355,355,355,355
285,305,305,355,355,355,355,355
286,305,305,355,355,355,355,355
287,305,305,355,355,355,355,355
288,305,305,355,355,355,355,355
289,305,305,355,355,355,355,355
290,305,305,355,355,355,355,355
291,305,305,355,355,355,355,355
292,305,305,355,355,355,355,355
293,305,305,355,355,355,355,355
294,305,305,355,355,355,355,355
295,305,305,355,355,355,355,355
296,305,305,355,355,355,355,355
297,305,305,355,355,355,355,355
298,305,305,355,355,355,355,355
299,305,305,355,355,355,355,355
300,305,305,355,355,355,355,355
301,305,305,355,355,355,355,355
302,305,305,355,355,355,355,355
303,305,305,355,355,355,355,355
304,305,305,355,355,355,355,355
305,305,305,355,355,355,355,355
306,305,305,355,355,355,355,355
